old version;new version
HOM03D001811;3;2
HOM03D001600;3;2
HOM03D000641;6;4
HOM03D000958;3;2
HOM03D000910;4;3
HOM03D000913;4;2
HOM03D001480;3;2
HOM03D004525;2;1
HOM03D003516;2;1
HOM03D001739;3;2
HOM03D000457;4;3
HOM03D000860;3;2
HOM03D000439;6;4
HOM03D005168;5;4
HOM03D001008;3;2
HOM03D001772;4;3
HOM03D000528;5;4
HOM03D000494;5;4
HOM03D000872;4;3
HOM03D002463;3;2
HOM03D000893;4;3
HOM03D000397;6;3
HOM03D001313;2;1
HOM03D003250;2;1
HOM03D001156;3;2
HOM03D002555;9;8
HOM03D002141;2;1
HOM03D000445;4;3
HOM03D000424;3;2
HOM03D000657;3;2
HOM03D000743;4;3
HOM03D001929;2;1
HOM03D001802;3;2
HOM03D001526;2;1
HOM03D000742;3;2
HOM03D000991;4;3
HOM03D002099;2;1
HOM03D000877;3;2
HOM03D000667;5;3
HOM03D001004;3;2
HOM03D001210;4;2
HOM03D001181;3;2
HOM03D003240;5;4
HOM03D001616;2;1
HOM03D002929;2;1
HOM03D004052;2;1
HOM03D002496;1;2
HOM03D000463;4;3
HOM03D001099;2;1
HOM03D003816;2;1
HOM03D000423;5;4
HOM03D000874;4;3
HOM03D002553;2;1
HOM03D001692;1;2
HOM03D006856;2;1
HOM03D000764;5;3
HOM03D007472;3;2
HOM03D009931;3;2
HOM03D000782;4;3
HOM03D001906;3;2
HOM03D000454;3;2
HOM03D000904;3;2
HOM03D001067;6;5
HOM03D001038;4;3
HOM03D002456;2;1
HOM03D000755;3;2
HOM03D001173;3;2
HOM03D002671;3;2
HOM03D011077;6;5
HOM03D002324;3;2
HOM03D002397;2;1
HOM03D001097;2;1
HOM03D001158;4;3
HOM03D000985;4;2
HOM03D001262;2;1
HOM03D000376;7;5
HOM03D001376;4;2
HOM03D001121;4;3
HOM03D002924;4;3
HOM03D001579;3;2
HOM03D002696;3;2
HOM03D000339;7;4
HOM03D002419;2;1
HOM03D000591;4;3
HOM03D000491;4;5
HOM03D003361;2;1
HOM03D002067;4;2
HOM03D000432;4;3
HOM03D000422;7;4
HOM03D002059;2;1
HOM03D006514;2;1
HOM03D000219;2;1
HOM03D009207;3;2
HOM03D000582;5;6
HOM03D000814;4;3
HOM03D002113;2;1
HOM03D007348;2;1
HOM03D001225;5;4
HOM03D004842;2;1
HOM03D001413;3;2
HOM03D000414;7;6
HOM03D000796;5;4
HOM03D001592;4;3
HOM03D001568;4;2
HOM03D001891;3;2
HOM03D001637;6;4
HOM03D001519;2;1
HOM03D000524;8;4
HOM03D003889;2;1
HOM03D009014;5;4
HOM03D001506;4;3
HOM03D000763;2;1
HOM03D002176;2;1
HOM03D001315;4;3
HOM03D000575;4;3
HOM03D001243;3;2
HOM03D000999;6;5
HOM03D004586;2;1
HOM03D000801;4;3
HOM03D002853;3;2
HOM03D002486;2;1
HOM03D003508;2;1
HOM03D000480;6;4
HOM03D002498;2;1
HOM03D000739;3;2
HOM03D000647;2;1
HOM03D001034;3;2
HOM03D004967;3;2
HOM03D002084;2;1
HOM03D002112;3;2
HOM03D001722;2;1
HOM03D001838;3;2
HOM03D001911;3;2
HOM03D001326;3;2
HOM03D003265;3;2
HOM03D000729;4;3
HOM03D002636;3;2
HOM03D001571;3;2
HOM03D007916;2;1
HOM03D000655;4;3
HOM03D000969;4;2
HOM03D000630;5;2
HOM03D010842;4;3
HOM03D002686;3;2
HOM03D000450;4;3
HOM03D002423;3;2
HOM03D002909;4;3
HOM03D000734;6;4
HOM03D013190;3;2
HOM03D001003;4;3
HOM03D002298;2;1
HOM03D009997;5;4
HOM03D000409;3;2
HOM03D000470;6;4
HOM03D002528;2;1
HOM03D001486;3;2
HOM03D002214;2;1
HOM03D000899;5;4
HOM03D009686;2;1
HOM03D001387;5;4
HOM03D001762;3;2
HOM03D004012;2;1
HOM03D004814;2;1
HOM03D002673;2;1
HOM03D002453;3;2
HOM03D000543;4;3
HOM03D022965;2;1
HOM03D002558;3;2
HOM03D001283;5;4
HOM03D003431;3;2
HOM03D001741;5;4
HOM03D004720;4;3
HOM03D001113;2;1
HOM03D014229;4;3
HOM03D002527;2;1
HOM03D002035;2;1
HOM03D009365;4;3
HOM03D001153;4;3
HOM03D001671;4;3
HOM03D002549;2;1
HOM03D001282;3;2
HOM03D002755;3;2
HOM03D001333;3;2
HOM03D002364;3;2
HOM03D011973;4;3
HOM03D002660;3;2
HOM03D000712;4;3
HOM03D000797;2;1
HOM03D002763;2;1
HOM03D002085;2;1
HOM03D001124;3;2
HOM03D000588;7;5
HOM03D001044;3;2
HOM03D001960;2;1
HOM03D001019;3;2
HOM03D011311;2;1
HOM03D015972;2;1
HOM03D009766;5;4
HOM03D009501;7;6
HOM03D001493;5;2
HOM03D002488;2;1
HOM03D001303;3;2
HOM03D002292;2;1
HOM03D000790;4;3
HOM03D001022;6;5
HOM03D003042;2;1
HOM03D006073;3;2
HOM03D000945;4;3
HOM03D000966;3;2
HOM03D002276;2;1
HOM03D000488;6;3
HOM03D000674;3;2
HOM03D001163;4;3
HOM03D002703;3;2
HOM03D001549;2;1
HOM03D001162;3;2
HOM03D002434;2;1
HOM03D000867;5;4
HOM03D002421;2;1
HOM03D001368;3;2
HOM03D000996;4;3
HOM03D000385;7;5
HOM03D002331;3;2
HOM03D012892;3;2
HOM03D009775;2;1
HOM03D001371;2;1
HOM03D002976;3;2
HOM03D001015;4;3
HOM03D000601;4;3
HOM03D001825;2;1
HOM03D001602;2;1
HOM03D008780;4;3
HOM03D002451;5;3
HOM03D000509;5;4
HOM03D001085;3;2
HOM03D002416;3;2
HOM03D001120;3;2
HOM03D001758;2;1
HOM03D001141;4;3
HOM03D001032;3;2
HOM03D009492;3;2
HOM03D002263;3;2
